epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5581,1.0505,2.17007,3.97783,1.20312,0.00222,1,0.19867,0.06052,0.002,0.9,0.05149,0.02663,0.44421,1.73094,4.39208,0.88211,0.00028,0.00028,0.00028
2,90.5811,0.86508,1.35487,2.45776,1.02962,0.00222,1,0.09915,0.08892,0.002,0.9,0.09878,0.05957,0.51715,1.7828,4.49666,0.91231,0.000568516,0.000568516,0.000568516
3,143.091,0.79625,1.53195,2.14159,1.03754,0.002,0.9,0.59623,0.53955,0.002,0.9,0.59634,0.54981,0.62002,1.91303,4.0937,0.93732,0.000845152,0.000845152,0.000845152
4,201.486,0.74569,1.12339,2.22121,0.9497,0.97843,0.6,0.6793,0.58099,0.97843,0.6,0.66942,0.62397,0.71183,1.11325,3.89161,0.968,0.00110991,0.00110991,0.00110991
5,259.547,0.8214,1.13033,1.8286,1.01624,0.84031,0.6,0.70912,0.5936,0.84031,0.6,0.68151,0.59344,0.79041,1.82605,3.66063,0.99708,0.00136278,0.00136278,0.00136278
6,317.335,0.89841,1.40789,1.91452,1.07201,1,0.69081,0.82624,0.67456,1,0.69081,0.69915,0.64579,0.79313,1.59156,3.03633,1.0271,0.00160378,0.00160378,0.00160378
7,369.301,0.96183,1.16717,1.80497,1.09419,0.22884,0.8,0.25298,0.18329,0.22884,0.8,0.25298,0.20801,0.94618,1.12916,5.0185,1.0526,0.0017624,0.0017624,0.0017624
8,427.233,0.87123,1.09867,1.71728,1.02804,0.94669,0.7,0.79073,0.6924,0.94669,0.7,0.79073,0.70266,0.62306,1.46297,3.84462,0.94061,0.0017228,0.0017228,0.0017228
9,463.629,0.94149,1.19695,1.54943,1.04028,0.99692,0.8,0.8586,0.71686,0.99692,0.8,0.8586,0.77035,0.78788,1.17774,2.66704,1.01337,0.0016832,0.0016832,0.0016832
10,520.621,0.81394,0.978,1.45185,1.03443,1,0.78417,0.88887,0.76705,1,0.78417,0.89381,0.80799,0.61473,0.84894,2.22177,0.93615,0.0016436,0.0016436,0.0016436
11,577.837,0.78238,1.01643,1.34232,1.00589,0.96963,0.7,0.86828,0.73627,0.96963,0.7,0.86828,0.79359,0.77023,0.78028,2.66058,1.00319,0.001604,0.001604,0.001604
12,635.222,0.7918,0.90179,1.372,1.0686,0.68372,0.7,0.56718,0.46702,0.68372,0.7,0.56718,0.50947,0.59492,0.70638,3.10189,0.93457,0.0015644,0.0015644,0.0015644
13,680.765,0.79119,0.90624,1.46677,1.03229,0.85169,0.7,0.87405,0.73907,0.81453,0.87993,0.92126,0.79327,0.63544,0.71992,2.0989,0.93713,0.0015248,0.0015248,0.0015248
14,702.12,0.7143,0.81946,1.16623,0.95519,0.88603,0.77938,0.90868,0.72162,0.76184,0.96154,0.94263,0.79969,0.61835,0.59649,2.12611,0.93494,0.0014852,0.0014852,0.0014852
15,724.461,0.79072,1.04656,1.19822,1.00574,0.86226,0.8,0.86898,0.73097,0.86226,0.8,0.93237,0.79553,0.61932,0.62016,1.75315,0.92881,0.0014456,0.0014456,0.0014456
16,747.361,0.69299,0.82946,1.1215,0.95863,1,0.8675,0.96167,0.83146,1,0.8675,0.97833,0.83908,0.58634,0.72853,1.63305,0.91698,0.001406,0.001406,0.001406
17,768.797,0.73053,0.79065,1.07231,0.98789,0.92659,0.9,0.96643,0.86199,0.90437,0.9481,0.98591,0.81086,0.52303,0.78586,1.56036,0.89696,0.0013664,0.0013664,0.0013664
18,789.546,0.63295,0.71654,1.00294,0.94604,0.76472,1,0.78985,0.67839,0.81282,1,0.82917,0.73386,0.53705,0.63848,1.40912,0.91371,0.0013268,0.0013268,0.0013268
19,810.025,0.72891,0.90698,1.07342,0.98603,0.8902,0.9,0.95192,0.80512,0.99228,1,0.995,0.85783,0.56951,0.54592,1.46906,0.91411,0.0012872,0.0012872,0.0012872
20,830.637,0.71919,0.87004,1.07518,1.03167,0.88378,0.8,0.91484,0.83863,0.88378,0.8,0.94825,0.80434,0.52401,0.56477,1.48811,0.89296,0.0012476,0.0012476,0.0012476
21,851.63,0.6331,0.84983,0.92367,0.94543,0.82881,0.97018,0.96833,0.82762,0.92472,0.9,0.98591,0.83315,0.54858,0.51532,1.37921,0.92302,0.001208,0.001208,0.001208
22,872.112,0.56488,0.63457,0.82245,0.90621,0.82119,1,0.96833,0.84583,0.90551,0.96059,0.98591,0.8379,0.52645,0.53752,1.27238,0.90958,0.0011684,0.0011684,0.0011684
23,892.737,0.56295,0.79791,0.85127,0.89419,0.97643,1,0.995,0.8731,0.97643,1,0.995,0.85198,0.50192,0.63239,1.2003,0.89632,0.0011288,0.0011288,0.0011288
24,913.411,0.60368,0.76315,0.82267,0.91777,0.98793,1,0.995,0.89201,0.98793,1,0.995,0.89729,0.50208,0.56018,0.98906,0.89545,0.0010892,0.0010892,0.0010892
25,934.246,0.64737,0.7486,0.81897,0.97645,0.90061,1,0.98591,0.89948,0.90061,1,0.98591,0.88644,0.48378,0.50667,1.0383,0.87922,0.0010496,0.0010496,0.0010496
26,954.344,0.57796,0.78833,0.85854,0.94905,0.90796,0.98755,0.98591,0.86287,0.90796,0.98755,0.98591,0.84629,0.45112,0.64904,1.00633,0.86,0.00101,0.00101,0.00101
