epoch,time,train/loss,metrics/accuracy,val/loss,val/accuracy,lr,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2646,1.266319,0.484177,1.900000,0.476190,0.001,1.266319,1.266319,1.266319,1.266319,0.484177,0.476190,0.484177,0.476190,0.484177,0.476190,0.484177,0.476190,1.900000,1.900000,1.900000,1.900000,0.001,0.001,0.001
2,22.668,1.107008,0.594937,1.800000,0.507937,0.001,1.107008,1.107008,1.107008,1.107008,0.594937,0.507937,0.594937,0.507937,0.594937,0.507937,0.594937,0.507937,1.800000,1.800000,1.800000,1.800000,0.001,0.001,0.001
3,22.7567,1.021664,0.617089,1.700000,0.539683,0.001,1.021664,1.021664,1.021664,1.021664,0.617089,0.539683,0.617089,0.539683,0.617089,0.539683,0.617089,0.539683,1.700000,1.700000,1.700000,1.700000,0.001,0.001,0.001
4,22.0498,0.900105,0.677215,1.600000,0.571429,0.001,0.900105,0.900105,0.900105,0.900105,0.677215,0.571429,0.677215,0.571429,0.677215,0.571429,0.677215,0.571429,1.600000,1.600000,1.600000,1.600000,0.001,0.001,0.001
5,22.3326,0.783093,0.743671,1.500000,0.603175,0.001,0.783093,0.783093,0.783093,0.783093,0.743671,0.603175,0.743671,0.603175,0.743671,0.603175,0.743671,0.603175,1.500000,1.500000,1.500000,1.500000,0.001,0.001,0.001
6,21.8614,0.727252,0.743671,1.420000,0.634921,0.001,0.727252,0.727252,0.727252,0.727252,0.743671,0.634921,0.743671,0.634921,0.743671,0.634921,0.743671,0.634921,1.420000,1.420000,1.420000,1.420000,0.001,0.001,0.001
7,23.063,0.720035,0.753165,1.360000,0.666667,0.001,0.720035,0.720035,0.720035,0.720035,0.753165,0.666667,0.753165,0.666667,0.753165,0.666667,0.753165,0.666667,1.360000,1.360000,1.360000,1.360000,0.001,0.001,0.001
8,23.0583,0.601332,0.78481,1.300000,0.698413,0.001,0.601332,0.601332,0.601332,0.601332,0.78481,0.698413,0.78481,0.698413,0.78481,0.698413,0.78481,0.698413,1.300000,1.300000,1.300000,1.300000,0.001,0.001,0.001
9,22.7444,0.616261,0.778481,1.220000,0.730159,0.001,0.616261,0.616261,0.616261,0.616261,0.778481,0.730159,0.778481,0.730159,0.778481,0.730159,0.778481,0.730159,1.220000,1.220000,1.220000,1.220000,0.001,0.001,0.001
10,23.198,0.606076,0.78481,1.150000,0.761905,0.001,0.606076,0.606076,0.606076,0.606076,0.78481,0.761905,0.78481,0.761905,0.78481,0.761905,0.78481,0.761905,1.150000,1.150000,1.150000,1.150000,0.001,0.001,0.001
11,25.2788,0.481115,0.832278,1.080000,0.777778,0.001,0.481115,0.481115,0.481115,0.481115,0.832278,0.777778,0.832278,0.777778,0.832278,0.777778,0.832278,0.777778,1.080000,1.080000,1.080000,1.080000,0.001,0.001,0.001
12,22.0792,0.40325,0.85443,1.020000,0.793651,0.001,0.40325,0.40325,0.40325,0.40325,0.85443,0.793651,0.85443,0.793651,0.85443,0.793651,0.85443,0.793651,1.020000,1.020000,1.020000,1.020000,0.001,0.001,0.001
13,103.7542,0.384698,0.867089,0.960000,0.809524,0.001,0.384698,0.384698,0.384698,0.384698,0.867089,0.809524,0.867089,0.809524,0.867089,0.809524,0.867089,0.809524,0.960000,0.960000,0.960000,0.960000,0.001,0.001,0.001
14,28.952,0.393713,0.882911,0.900000,0.825397,0.001,0.393713,0.393713,0.393713,0.393713,0.882911,0.825397,0.882911,0.825397,0.882911,0.825397,0.882911,0.825397,0.900000,0.900000,0.900000,0.900000,0.001,0.001,0.001
15,30.2967,0.313168,0.870253,0.850000,0.841270,0.001,0.313168,0.313168,0.313168,0.313168,0.870253,0.841270,0.870253,0.841270,0.870253,0.841270,0.870253,0.841270,0.850000,0.850000,0.850000,0.850000,0.001,0.001,0.001
16,30.1887,0.39124,0.863924,0.800000,0.857143,0.001,0.39124,0.39124,0.39124,0.39124,0.863924,0.857143,0.863924,0.857143,0.863924,0.857143,0.863924,0.857143,0.800000,0.800000,0.800000,0.800000,0.001,0.001,0.001
17,29.2075,0.261285,0.914557,0.760000,0.873016,0.001,0.261285,0.261285,0.261285,0.261285,0.914557,0.873016,0.914557,0.873016,0.914557,0.873016,0.914557,0.873016,0.760000,0.760000,0.760000,0.760000,0.001,0.001,0.001
18,29.2214,0.249677,0.924051,0.730000,0.888889,0.001,0.249677,0.249677,0.249677,0.249677,0.924051,0.888889,0.924051,0.888889,0.924051,0.888889,0.924051,0.888889,0.730000,0.730000,0.730000,0.730000,0.001,0.001,0.001
19,29.0865,0.250669,0.933544,0.700000,0.857143,0.001,0.250669,0.250669,0.250669,0.250669,0.933544,0.857143,0.933544,0.857143,0.933544,0.857143,0.933544,0.857143,0.700000,0.700000,0.700000,0.700000,0.001,0.001,0.001
20,811.0865,0.235437,0.911392,0.680000,0.837209,0.001,0.235437,0.235437,0.235437,0.235437,0.911392,0.837209,0.911392,0.837209,0.911392,0.837209,0.911392,0.837209,0.680000,0.680000,0.680000,0.680000,0.001,0.001,0.001
